SBP_Male	GDP	TC_Male	Country	Year	Year_base1978
136.6031	2091.40518944	4.663302	Namibia	1983	2.2360679775
132.1944	791.632334333	4.199553	Cameroon	1983	2.2360679775
133.033	316.228173968	4.102555	Nigeria	1983	2.2360679775
128.8554	1976.50187509	4.905625	Peru	1983	2.2360679775
132.0733	1437.67743238	4.529619	Botswana	1983	2.2360679775
136.9012	15744.5642445	5.844133	Netherlands	1983	2.2360679775
133.1667	10966.7198122	6.044647	New Zealand	1983	2.2360679775
132.5307	1310.30571397	4.766135	Paraguay	1983	2.2360679775
136.2371	47658.0125693	5.628705	United Arab Emirates	1983	2.2360679775
129.6942	166.987638399	4.024388	Burundi	1983	2.2360679775
118.5449	615.692281523	4.71165	Papua New Guinea	1983	2.2360679775
130.6213	162.489053446	4.070621	Burkina Faso	1983	2.2360679775
133.1328	523.1012913	4.421936	Mauritania	1983	2.2360679775
127.44	996.55203011	4.703891	Morocco	1983	2.2360679775
136.9949	6616.5460562	5.43358	Portugal	1983	2.2360679775
135.8291	23352.9694909	5.457377	Brunei	1983	2.2360679775
135.3952	4991.6887536	4.98445	Venezuela	1983	2.2360679775
